candidate_id,job_id,role,location,source,stage,stage_entered_at,diversity_flag
47,1002,PM,Menlo Park,LinkedIn,Onsite,2024-08-24,1
48,1002,Data Analyst,Seattle,LinkedIn,Applied,2024-06-18,1
48,1002,Data Analyst,Seattle,LinkedIn,Phone Screen,2024-06-23,0
48,1002,Data Analyst,Seattle,LinkedIn,Hiring Manager,2024-07-04,1
49,1002,SWE I,Austin,Career Site,Applied,2024-08-21,1
49,1002,SWE I,Austin,Career Site,Phone Screen,2024-08-26,1
50,1002,SWE II,Remote,Referral,Applied,2024-05-09,1
51,1002,PM,Menlo Park,Agency,Applied,2024-04-26,0
51,1002,PM,Menlo Park,Agency,Phone Screen,2024-04-28,1
51,1002,PM,Menlo Park,Agency,Hiring Manager,2024-05-06,1
51,1002,PM,Menlo Park,Agency,Onsite,2024-05-11,1
52,1002,Data Analyst,Remote,Career Site,Applied,2024-06-24,0
53,1002,Designer,Austin,Career Site,Applied,2024-05-28,1
53,1002,Designer,Austin,Career Site,Phone Screen,2024-06-05,1
53,1002,Designer,Austin,Career Site,Hiring Manager,2024-06-05,1
53,1002,Designer,Austin,Career Site,Onsite,2024-06-21,1
53,1002,Designer,Austin,Career Site,Offer,2024-06-05,0
54,1002,Data Analyst,Menlo Park,Referral,Applied,2024-05-24,1
54,1002,Data Analyst,Menlo Park,Referral,Phone Screen,2024-06-01,1
55,1002,SWE II,Austin,Agency,Applied,2024-05-09,0
55,1002,SWE II,Austin,Agency,Phone Screen,2024-05-17,1
55,1002,SWE II,Austin,Agency,Hiring Manager,2024-05-29,1
55,1002,SWE II,Austin,Agency,Onsite,2024-05-21,1
56,1002,Data Analyst,Menlo Park,Career Site,Applied,2024-06-14,1
56,1002,Data Analyst,Menlo Park,Career Site,Phone Screen,2024-06-18,0
56,1002,Data Analyst,Menlo Park,Career Site,Hiring Manager,2024-06-16,1
57,1002,SWE II,New York,Career Site,Applied,2024-05-06,1
57,1002,SWE II,New York,Career Site,Phone Screen,2024-05-13,0
58,1002,SWE II,New York,LinkedIn,Applied,2024-05-04,0
58,1002,SWE II,New York,LinkedIn,Phone Screen,2024-05-09,1
59,1002,Data Analyst,Menlo Park,Referral,Applied,2024-07-05,0
60,1002,SWE I,Menlo Park,Agency,Applied,2024-06-06,1
60,1002,SWE I,Menlo Park,Agency,Phone Screen,2024-06-11,0
60,1002,SWE I,Menlo Park,Agency,Hiring Manager,2024-06-12,1
60,1002,SWE I,Menlo Park,Agency,Onsite,2024-06-24,0
61,1002,PM,Remote,LinkedIn,Applied,2024-07-18,1
61,1002,PM,Remote,LinkedIn,Phone Screen,2024-07-23,0
61,1002,PM,Remote,LinkedIn,Hiring Manager,2024-07-22,1
62,1002,Data Analyst,Austin,LinkedIn,Applied,2024-07-14,1
62,1002,Data Analyst,Austin,LinkedIn,Phone Screen,2024-07-20,1
62,1002,Data Analyst,Austin,LinkedIn,Hiring Manager,2024-08-03,0
63,1002,Data Analyst,Remote,Career Site,Applied,2024-07-27,1
63,1002,Data Analyst,Remote,Career Site,Phone Screen,2024-08-03,0
63,1002,Data Analyst,Remote,Career Site,Hiring Manager,2024-07-29,0
63,1002,Data Analyst,Remote,Career Site,Onsite,2024-08-17,1
64,1002,Designer,Remote,Referral,Applied,2024-06-20,0
64,1002,Designer,Remote,Referral,Phone Screen,2024-06-24,1
64,1002,Designer,Remote,Referral,Hiring Manager,2024-06-22,1
65,1002,SWE II,Menlo Park,Campus,Applied,2024-07-23,1
65,1002,SWE II,Menlo Park,Campus,Phone Screen,2024-08-02,0
65,1002,SWE II,Menlo Park,Campus,Hiring Manager,2024-07-31,1
66,1002,SWE I,Seattle,Agency,Applied,2024-04-28,0
67,1002,Data Analyst,Austin,Agency,Applied,2024-07-28,0
67,1002,Data Analyst,Austin,Agency,Phone Screen,2024-08-02,1
67,1002,Data Analyst,Austin,Agency,Hiring Manager,2024-08-11,1
67,1002,Data Analyst,Austin,Agency,Onsite,2024-08-21,1
67,1002,Data Analyst,Austin,Agency,Offer,2024-09-02,1
68,1002,SWE I,New York,Agency,Applied,2024-07-28,1
68,1002,SWE I,New York,Agency,Phone Screen,2024-08-04,1
68,1002,SWE I,New York,Agency,Hiring Manager,2024-07-30,1
69,1002,Data Analyst,New York,Referral,Applied,2024-06-30,0
69,1002,Data Analyst,New York,Referral,Phone Screen,2024-07-06,0
69,1002,Data Analyst,New York,Referral,Hiring Manager,2024-07-14,1
70,1002,PM,Menlo Park,Agency,Applied,2024-08-22,0
70,1002,PM,Menlo Park,Agency,Phone Screen,2024-09-01,1
70,1002,PM,Menlo Park,Agency,Hiring Manager,2024-09-07,1
71,1002,SWE II,Seattle,Campus,Applied,2024-05-13,0
71,1002,SWE II,Seattle,Campus,Phone Screen,2024-05-17,0
72,1002,SWE II,New York,Campus,Applied,2024-07-02,1
72,1002,SWE II,New York,Campus,Phone Screen,2024-07-08,0
73,1002,SWE II,Menlo Park,Campus,Applied,2024-07-15,0
74,1002,SWE I,Austin,Agency,Applied,2024-06-08,0
74,1002,SWE I,Austin,Agency,Phone Screen,2024-06-17,0
74,1002,SWE I,Austin,Agency,Hiring Manager,2024-06-12,0
74,1002,SWE I,Austin,Agency,Onsite,2024-06-17,1
75,1002,Data Analyst,Menlo Park,LinkedIn,Applied,2024-08-01,1
75,1002,Data Analyst,Menlo Park,LinkedIn,Phone Screen,2024-08-05,1
76,1002,PM,New York,Referral,Applied,2024-06-27,0
76,1002,PM,New York,Referral,Phone Screen,2024-07-05,0
76,1002,PM,New York,Referral,Hiring Manager,2024-07-01,1
76,1002,PM,New York,Referral,Onsite,2024-07-03,0
76,1002,PM,New York,Referral,Offer,2024-07-21,1
77,1002,SWE I,Remote,LinkedIn,Applied,2024-06-17,1
77,1002,SWE I,Remote,LinkedIn,Phone Screen,2024-06-25,1
78,1002,Data Analyst,Remote,LinkedIn,Applied,2024-06-08,1
79,1002,Data Analyst,Remote,Career Site,Applied,2024-05-22,0
79,1002,Data Analyst,Remote,Career Site,Phone Screen,2024-05-24,0
79,1002,Data Analyst,Remote,Career Site,Hiring Manager,2024-05-24,1
80,1002,Data Analyst,Seattle,LinkedIn,Applied,2024-07-11,1
80,1002,Data Analyst,Seattle,LinkedIn,Phone Screen,2024-07-16,0
80,1002,Data Analyst,Seattle,LinkedIn,Hiring Manager,2024-07-19,0
81,1002,Designer,Seattle,Referral,Applied,2024-04-29,1
81,1002,Designer,Seattle,Referral,Phone Screen,2024-04-30,1
81,1002,Designer,Seattle,Referral,Hiring Manager,2024-05-01,0
82,1002,SWE I,Menlo Park,Referral,Applied,2024-07-09,1
83,1002,Designer,Menlo Park,Referral,Applied,2024-08-03,1
84,1002,SWE II,Austin,Career Site,Applied,2024-05-06,0
84,1002,SWE II,Austin,Career Site,Phone Screen,2024-05-15,0
84,1002,SWE II,Austin,Career Site,Hiring Manager,2024-05-14,0
85,1002,SWE II,Seattle,Referral,Applied,2024-06-07,0
85,1002,SWE II,Seattle,Referral,Phone Screen,2024-06-08,0
85,1002,SWE II,Seattle,Referral,Hiring Manager,2024-06-23,0
85,1002,SWE II,Seattle,Referral,Onsite,2024-06-22,0
86,1002,Designer,Menlo Park,Career Site,Applied,2024-07-22,0
86,1002,Designer,Menlo Park,Career Site,Phone Screen,2024-07-26,1
86,1002,Designer,Menlo Park,Career Site,Hiring Manager,2024-07-26,0
87,1002,Data Analyst,Remote,Campus,Applied,2024-05-11,0
87,1002,Data Analyst,Remote,Campus,Phone Screen,2024-05-12,1
87,1002,Data Analyst,Remote,Campus,Hiring Manager,2024-05-27,1
87,1002,Data Analyst,Remote,Campus,Onsite,2024-05-20,1
88,1002,SWE I,Menlo Park,Referral,Applied,2024-06-18,1
88,1002,SWE I,Menlo Park,Referral,Phone Screen,2024-06-21,1
89,1002,Designer,Austin,Career Site,Applied,2024-06-03,1
89,1002,Designer,Austin,Career Site,Phone Screen,2024-06-10,1
89,1002,Designer,Austin,Career Site,Hiring Manager,2024-06-23,0
90,1002,Designer,Austin,Referral,Applied,2024-05-26,1
90,1002,Designer,Austin,Referral,Phone Screen,2024-06-01,0
90,1002,Designer,Austin,Referral,Hiring Manager,2024-06-03,0
91,1002,PM,Menlo Park,Career Site,Applied,2024-08-09,0
92,1002,Data Analyst,Austin,Agency,Applied,2024-08-07,1
92,1002,Data Analyst,Austin,Agency,Phone Screen,2024-08-08,1
92,1002,Data Analyst,Austin,Agency,Hiring Manager,2024-08-11,1
92,1002,Data Analyst,Austin,Agency,Onsite,2024-08-31,0
93,1003,PM,New York,Campus,Applied,2024-07-22,0
93,1003,PM,New York,Campus,Phone Screen,2024-07-26,1
94,1003,SWE II,Remote,Agency,Applied,2024-08-16,1
94,1003,SWE II,Remote,Agency,Phone Screen,2024-08-17,0
95,1003,Designer,New York,Campus,Applied,2024-09-26,0
95,1003,Designer,New York,Campus,Phone Screen,2024-10-02,0
96,1003,Designer,Remote,Referral,Applied,2024-07-08,1
97,1003,Data Analyst,Menlo Park,Referral,Applied,2024-08-12,1
97,1003,Data Analyst,Menlo Park,Referral,Phone Screen,2024-08-16,0
97,1003,Data Analyst,Menlo Park,Referral,Hiring Manager,2024-08-28,0
97,1003,Data Analyst,Menlo Park,Referral,Onsite,2024-08-30,0
98,1003,Data Analyst,Menlo Park,Career Site,Applied,2024-09-04,0
98,1003,Data Analyst,Menlo Park,Career Site,Phone Screen,2024-09-05,1
98,1003,Data Analyst,Menlo Park,Career Site,Hiring Manager,2024-09-14,0
98,1003,Data Analyst,Menlo Park,Career Site,Onsite,2024-10-01,1
98,1003,Data Analyst,Menlo Park,Career Site,Offer,2024-10-02,1
98,1003,Data Analyst,Menlo Park,Career Site,Hired,2024-09-19,1
99,1003,PM,Remote,Campus,Applied,2024-08-27,0
100,1003,Data Analyst,Remote,Agency,Applied,2024-08-20,1
101,1003,SWE I,New York,LinkedIn,Applied,2024-07-02,1
101,1003,SWE I,New York,LinkedIn,Phone Screen,2024-07-06,1
101,1003,SWE I,New York,LinkedIn,Hiring Manager,2024-07-14,0
101,1003,SWE I,New York,LinkedIn,Onsite,2024-08-01,0
102,1003,SWE II,Remote,Agency,Applied,2024-06-01,0
102,1003,SWE II,Remote,Agency,Phone Screen,2024-06-11,1
103,1003,Designer,Seattle,Career Site,Applied,2024-07-31,1
104,1003,SWE I,Menlo Park,Agency,Applied,2024-09-15,1
104,1003,SWE I,Menlo Park,Agency,Phone Screen,2024-09-19,1
105,1003,Designer,Austin,Referral,Applied,2024-07-03,0
105,1003,Designer,Austin,Referral,Phone Screen,2024-07-09,0
105,1003,Designer,Austin,Referral,Hiring Manager,2024-07-15,1
106,1003,Designer,Remote,Agency,Applied,2024-06-20,0
106,1003,Designer,Remote,Agency,Phone Screen,2024-06-21,0
107,1003,PM,New York,Campus,Applied,2024-08-03,1
108,1003,SWE I,Austin,Agency,Applied,2024-07-16,0
108,1003,SWE I,Austin,Agency,Phone Screen,2024-07-19,0
109,1003,SWE I,Remote,Referral,Applied,2024-09-11,0
109,1003,SWE I,Remote,Referral,Phone Screen,2024-09-16,1
110,1003,SWE II,Menlo Park,Career Site,Applied,2024-07-26,0
110,1003,SWE II,Menlo Park,Career Site,Phone Screen,2024-07-29,1
110,1003,SWE II,Menlo Park,Career Site,Hiring Manager,2024-08-09,1
110,1003,SWE II,Menlo Park,Career Site,Onsite,2024-08-01,1
110,1003,SWE II,Menlo Park,Career Site,Offer,2024-08-27,0
110,1003,SWE II,Menlo Park,Career Site,Hired,2024-09-09,0
111,1003,Data Analyst,Remote,LinkedIn,Applied,2024-08-10,1
111,1003,Data Analyst,Remote,LinkedIn,Phone Screen,2024-08-17,0
111,1003,Data Analyst,Remote,LinkedIn,Hiring Manager,2024-08-14,0
111,1003,Data Analyst,Remote,LinkedIn,Onsite,2024-08-31,1
112,1003,Data Analyst,Austin,Agency,Applied,2024-06-17,1
112,1003,Data Analyst,Austin,Agency,Phone Screen,2024-06-25,1
112,1003,Data Analyst,Austin,Agency,Hiring Manager,2024-06-19,1
113,1003,Designer,Austin,Agency,Applied,2024-08-28,1
113,1003,Designer,Austin,Agency,Phone Screen,2024-09-06,1
113,1003,Designer,Austin,Agency,Hiring Manager,2024-09-09,1
114,1003,SWE I,Seattle,LinkedIn,Applied,2024-06-16,1
115,1003,Designer,Seattle,Campus,Applied,2024-09-10,0
115,1003,Designer,Seattle,Campus,Phone Screen,2024-09-19,0
116,1003,SWE I,New York,Career Site,Applied,2024-06-30,0
116,1003,SWE I,New York,Career Site,Phone Screen,2024-07-01,0
117,1003,SWE II,Menlo Park,Campus,Applied,2024-06-29,0
117,1003,SWE II,Menlo Park,Campus,Phone Screen,2024-07-09,1
117,1003,SWE II,Menlo Park,Campus,Hiring Manager,2024-07-09,0
117,1003,SWE II,Menlo Park,Campus,Onsite,2024-07-11,1
118,1003,PM,Austin,Agency,Applied,2024-08-31,0
118,1003,PM,Austin,Agency,Phone Screen,2024-09-08,0
118,1003,PM,Austin,Agency,Hiring Manager,2024-09-18,1
118,1003,PM,Austin,Agency,Onsite,2024-09-03,1
119,1003,SWE II,Austin,Agency,Applied,2024-08-08,1
119,1003,SWE II,Austin,Agency,Phone Screen,2024-08-09,1
120,1003,PM,Austin,LinkedIn,Applied,2024-06-14,1
120,1003,PM,Austin,LinkedIn,Phone Screen,2024-06-19,1
120,1003,PM,Austin,LinkedIn,Hiring Manager,2024-06-30,1
120,1003,PM,Austin,LinkedIn,Onsite,2024-07-11,1
121,1003,SWE II,Menlo Park,LinkedIn,Applied,2024-09-15,0
121,1003,SWE II,Menlo Park,LinkedIn,Phone Screen,2024-09-18,1
121,1003,SWE II,Menlo Park,LinkedIn,Hiring Manager,2024-09-23,0
122,1003,Data Analyst,Austin,Career Site,Applied,2024-06-27,1
123,1003,PM,Seattle,Campus,Applied,2024-08-05,1
123,1003,PM,Seattle,Campus,Phone Screen,2024-08-15,0
123,1003,PM,Seattle,Campus,Hiring Manager,2024-08-21,1
124,1003,PM,Remote,Agency,Applied,2024-06-11,0
124,1003,PM,Remote,Agency,Phone Screen,2024-06-19,0
125,1003,Designer,Remote,LinkedIn,Applied,2024-07-16,0
125,1003,Designer,Remote,LinkedIn,Phone Screen,2024-07-22,1
125,1003,Designer,Remote,LinkedIn,Hiring Manager,2024-07-20,1
126,1003,Data Analyst,Seattle,Referral,Applied,2024-08-29,0
126,1003,Data Analyst,Seattle,Referral,Phone Screen,2024-08-31,1
126,1003,Data Analyst,Seattle,Referral,Hiring Manager,2024-09-10,0
126,1003,Data Analyst,Seattle,Referral,Onsite,2024-09-04,0
127,1003,Designer,Seattle,Agency,Applied,2024-07-21,0
128,1003,Data Analyst,Remote,Agency,Applied,2024-08-06,1
128,1003,Data Analyst,Remote,Agency,Phone Screen,2024-08-11,0
129,1003,Data Analyst,Seattle,LinkedIn,Applied,2024-06-02,0
129,1003,Data Analyst,Seattle,LinkedIn,Phone Screen,2024-06-06,1
130,1003,Data Analyst,Austin,Campus,Applied,2024-09-24,1
131,1003,PM,Menlo Park,Referral,Applied,2024-06-08,1
131,1003,PM,Menlo Park,Referral,Phone Screen,2024-06-14,1
131,1003,PM,Menlo Park,Referral,Hiring Manager,2024-06-18,1
131,1003,PM,Menlo Park,Referral,Onsite,2024-07-08,0
132,1003,Designer,Remote,Campus,Applied,2024-06-02,0
132,1003,Designer,Remote,Campus,Phone Screen,2024-06-10,1
133,1003,Designer,Seattle,Career Site,Applied,2024-07-21,0
133,1003,Designer,Seattle,Career Site,Phone Screen,2024-07-30,0
134,1004,SWE II,Austin,LinkedIn,Applied,2024-08-11,1
134,1004,SWE II,Austin,LinkedIn,Phone Screen,2024-08-12,1
135,1004,Designer,Austin,Career Site,Applied,2024-05-23,0
135,1004,Designer,Austin,Career Site,Phone Screen,2024-05-27,0
136,1004,PM,Remote,LinkedIn,Applied,2024-05-05,1
136,1004,PM,Remote,LinkedIn,Phone Screen,2024-05-13,0
136,1004,PM,Remote,LinkedIn,Hiring Manager,2024-05-21,0
137,1004,PM,New York,Campus,Applied,2024-08-02,0
137,1004,PM,New York,Campus,Phone Screen,2024-08-10,0
138,1004,Data Analyst,New York,LinkedIn,Applied,2024-05-23,1
138,1004,Data Analyst,New York,LinkedIn,Phone Screen,2024-05-31,1
138,1004,Data Analyst,New York,LinkedIn,Hiring Manager,2024-06-12,1
139,1004,PM,Seattle,Campus,Applied,2024-08-20,0
139,1004,PM,Seattle,Campus,Phone Screen,2024-08-24,0
140,1004,PM,Remote,Career Site,Applied,2024-07-20,0
141,1004,Data Analyst,Austin,LinkedIn,Applied,2024-06-06,0
141,1004,Data Analyst,Austin,LinkedIn,Phone Screen,2024-06-14,1
142,1004,Designer,Austin,Campus,Applied,2024-05-02,0
143,1004,SWE II,New York,Agency,Applied,2024-06-29,1
143,1004,SWE II,New York,Agency,Phone Screen,2024-07-05,0
143,1004,SWE II,New York,Agency,Hiring Manager,2024-07-09,0
143,1004,SWE II,New York,Agency,Onsite,2024-07-02,0
143,1004,SWE II,New York,Agency,Offer,2024-08-04,0
144,1004,SWE I,Remote,LinkedIn,Applied,2024-05-31,1
144,1004,SWE I,Remote,LinkedIn,Phone Screen,2024-06-07,1
145,1004,SWE I,Remote,Career Site,Applied,2024-08-08,0
146,1004,PM,Seattle,Campus,Applied,2024-08-07,1
147,1004,Data Analyst,Austin,LinkedIn,Applied,2024-06-05,1
147,1004,Data Analyst,Austin,LinkedIn,Phone Screen,2024-06-06,1
147,1004,Data Analyst,Austin,LinkedIn,Hiring Manager,2024-06-21,0
147,1004,Data Analyst,Austin,LinkedIn,Onsite,2024-06-11,1
148,1004,Designer,Remote,Referral,Applied,2024-05-04,0
149,1004,Designer,Austin,Campus,Applied,2024-06-03,0
149,1004,Designer,Austin,Campus,Phone Screen,2024-06-04,0
150,1004,SWE II,New York,Agency,Applied,2024-05-22,1
150,1004,SWE II,New York,Agency,Phone Screen,2024-05-23,1
150,1004,SWE II,New York,Agency,Hiring Manager,2024-05-28,1
151,1004,Designer,Austin,Referral,Applied,2024-05-31,1
152,1004,SWE II,Seattle,LinkedIn,Applied,2024-06-19,1
152,1004,SWE II,Seattle,LinkedIn,Phone Screen,2024-06-26,1
153,1004,SWE I,Seattle,Campus,Applied,2024-05-05,1
154,1004,SWE I,Remote,LinkedIn,Applied,2024-07-23,0
154,1004,SWE I,Remote,LinkedIn,Phone Screen,2024-08-02,0
154,1004,SWE I,Remote,LinkedIn,Hiring Manager,2024-08-06,1
155,1004,SWE II,Seattle,Career Site,Applied,2024-06-06,1
156,1004,PM,Austin,Agency,Applied,2024-06-27,0
156,1004,PM,Austin,Agency,Phone Screen,2024-07-07,1
156,1004,PM,Austin,Agency,Hiring Manager,2024-07-15,0
157,1004,SWE II,Austin,Referral,Applied,2024-05-21,0
158,1004,Data Analyst,Menlo Park,Referral,Applied,2024-05-26,0
158,1004,Data Analyst,Menlo Park,Referral,Phone Screen,2024-05-30,1
159,1004,Data Analyst,Seattle,Agency,Applied,2024-05-26,0
159,1004,Data Analyst,Seattle,Agency,Phone Screen,2024-05-31,1
159,1004,Data Analyst,Seattle,Agency,Hiring Manager,2024-06-03,0
159,1004,Data Analyst,Seattle,Agency,Onsite,2024-06-19,0
